title,budget,revenue,net_profit,roi,release_year
Avatar,237000000,2787965087,2550965087,1076.36,2009
Titanic,200000000,1845034188,1645034188,822.52,1997
Jurassic World,150000000,1513528810,1363528810,909.02,2015
Furious 7,190000000,1506249360,1316249360,692.76,2015
The Avengers,220000000,1519557910,1299557910,590.71,2012
Avengers: Age of Ultron,280000000,1405403694,1125403694,401.93,2015
Frozen,150000000,1274219009,1124219009,749.48,2013
Minions,74000000,1156730962,1082730962,1463.15,2015
The Lord of the Rings: The Return of the King,94000000,1118888979,1024888979,1090.31,2003
Iron Man 3,200000000,1215439994,1015439994,507.72,2013
